label,hemi,color,network,net_color
1,L,1 1 1 1.0,Uncertain,White
2,L,1 1 1 1.0,Uncertain,White
3,L,1 1 1 1.0,Uncertain,White
4,L,1 1 1 1.0,Uncertain,White
5,L,1 1 1 1.0,Uncertain,White
6,L,1 1 1 1.0,Uncertain,White
7,L,1 1 1 1.0,Uncertain,White
8,L,1 1 1 1.0,Uncertain,White
9,L,1 1 1 1.0,Uncertain,White
10,L,1 1 1 1.0,Uncertain,White
11,L,1 1 1 1.0,Uncertain,White
12,R,1 1 1 1.0,Uncertain,White
13,R,1 1 1 1.0,Uncertain,White
14,R,1 1 1 1.0,Uncertain,White
15,R,1 1 1 1.0,Uncertain,White
16,R,1 1 1 1.0,Uncertain,White
17,R,1 1 1 1.0,Uncertain,White
18,R,1 1 1 1.0,Uncertain,White
19,R,1 1 1 1.0,Uncertain,White
20,R,1 1 1 1.0,Uncertain,White
21,R,1 1 1 1.0,Uncertain,White
22,R,1 1 1 1.0,Uncertain,White
23,R,1 1 1 1.0,Uncertain,White
24,R,1 1 1 1.0,Uncertain,White
25,L,1 1 1 1.0,Memory,White
26,L,1 1 1 1.0,Memory,White
27,R,1 1 1 1.0,Memory,White
28,R,1 1 1 1.0,Memory,White
29,R,1 1 1 1.0,Memory,White
30,L,0 1 1 1.0,Sensory_somatomotor_Hand,Cyan
31,L,0 1 1 1.0,Sensory_somatomotor_Hand,Cyan
32,L,0 1 1 1.0,Sensory_somatomotor_Hand,Cyan
33,L,0 1 1 1.0,Sensory_somatomotor_Hand,Cyan
34,L,0 1 1 1.0,Sensory_somatomotor_Hand,Cyan
35,L,0 1 1 1.0,Sensory_somatomotor_Hand,Cyan
36,L,0 1 1 1.0,Sensory_somatomotor_Hand,Cyan
37,L,0 1 1 1.0,Sensory_somatomotor_Hand,Cyan
38,L,0 1 1 1.0,Sensory_somatomotor_Hand,Cyan
39,L,0 1 1 1.0,Sensory_somatomotor_Hand,Cyan
40,L,0 1 1 1.0,Sensory_somatomotor_Hand,Cyan
41,L,0 1 1 1.0,Sensory_somatomotor_Hand,Cyan
42,L,0 1 1 1.0,Sensory_somatomotor_Hand,Cyan
43,L,0 1 1 1.0,Sensory_somatomotor_Hand,Cyan
44,L,0 1 1 1.0,Sensory_somatomotor_Hand,Cyan
45,R,0 1 1 1.0,Sensory_somatomotor_Hand,Cyan
46,R,0 1 1 1.0,Sensory_somatomotor_Hand,Cyan
47,R,0 1 1 1.0,Sensory_somatomotor_Hand,Cyan
48,R,0 1 1 1.0,Sensory_somatomotor_Hand,Cyan
49,R,0 1 1 1.0,Sensory_somatomotor_Hand,Cyan
50,R,0 1 1 1.0,Sensory_somatomotor_Hand,Cyan
51,R,0 1 1 1.0,Sensory_somatomotor_Hand,Cyan
52,R,0 1 1 1.0,Sensory_somatomotor_Hand,Cyan
53,R,0 1 1 1.0,Sensory_somatomotor_Hand,Cyan
54,R,0 1 1 1.0,Sensory_somatomotor_Hand,Cyan
55,R,0 1 1 1.0,Sensory_somatomotor_Hand,Cyan
56,R,0 1 1 1.0,Sensory_somatomotor_Hand,Cyan
57,R,0 1 1 1.0,Sensory_somatomotor_Hand,Cyan
58,R,0 1 1 1.0,Sensory_somatomotor_Hand,Cyan
59,R,0 1 1 1.0,Sensory_somatomotor_Hand,Cyan
60,L,1 0.54901960784314 0 1.0,Sensory_somatomotor_Mouth,Orange
61,L,1 0.54901960784314 0 1.0,Sensory_somatomotor_Mouth,Orange
62,R,1 0.54901960784314 0 1.0,Sensory_somatomotor_Mouth,Orange
63,R,1 0.54901960784314 0 1.0,Sensory_somatomotor_Mouth,Orange
64,R,1 0.54901960784314 0 1.0,Sensory_somatomotor_Mouth,Orange
65,L,0.50196078431373 0 0.50196078431373 1.0,Cingulo_opercular,Purple
66,L,0.50196078431373 0 0.50196078431373 1.0,Cingulo_opercular,Purple
67,L,0.50196078431373 0 0.50196078431373 1.0,Cingulo_opercular,Purple
68,L,0.50196078431373 0 0.50196078431373 1.0,Cingulo_opercular,Purple
69,L,0.50196078431373 0 0.50196078431373 1.0,Cingulo_opercular,Purple
70,L,0.50196078431373 0 0.50196078431373 1.0,Cingulo_opercular,Purple
71,L,0.50196078431373 0 0.50196078431373 1.0,Cingulo_opercular,Purple
72,R,0.50196078431373 0 0.50196078431373 1.0,Cingulo_opercular,Purple
73,R,0.50196078431373 0 0.50196078431373 1.0,Cingulo_opercular,Purple
74,R,0.50196078431373 0 0.50196078431373 1.0,Cingulo_opercular,Purple
75,R,0.50196078431373 0 0.50196078431373 1.0,Cingulo_opercular,Purple
76,R,0.50196078431373 0 0.50196078431373 1.0,Cingulo_opercular,Purple
77,R,0.50196078431373 0 0.50196078431373 1.0,Cingulo_opercular,Purple
78,R,0.50196078431373 0 0.50196078431373 1.0,Cingulo_opercular,Purple
79,L,1 0.75294117647059 0.79607843137255 1.0,Auditory,Pink
80,L,1 0.75294117647059 0.79607843137255 1.0,Auditory,Pink
81,L,1 0.75294117647059 0.79607843137255 1.0,Auditory,Pink
82,L,1 0.75294117647059 0.79607843137255 1.0,Auditory,Pink
83,L,1 0.75294117647059 0.79607843137255 1.0,Auditory,Pink
84,L,1 0.75294117647059 0.79607843137255 1.0,Auditory,Pink
85,L,1 0.75294117647059 0.79607843137255 1.0,Auditory,Pink
86,R,1 0.75294117647059 0.79607843137255 1.0,Auditory,Pink
87,R,1 0.75294117647059 0.79607843137255 1.0,Auditory,Pink
88,R,1 0.75294117647059 0.79607843137255 1.0,Auditory,Pink
89,R,1 0.75294117647059 0.79607843137255 1.0,Auditory,Pink
90,R,1 0.75294117647059 0.79607843137255 1.0,Auditory,Pink
91,R,1 0.75294117647059 0.79607843137255 1.0,Auditory,Pink
92,L,1 0 0 1.0,Default_mode,Red
93,L,1 0 0 1.0,Default_mode,Red
94,L,1 0 0 1.0,Default_mode,Red
95,L,1 0 0 1.0,Default_mode,Red
96,L,1 0 0 1.0,Default_mode,Red
97,L,1 0 0 1.0,Default_mode,Red
98,L,1 0 0 1.0,Default_mode,Red
99,L,1 0 0 1.0,Default_mode,Red
100,L,1 0 0 1.0,Default_mode,Red
101,L,1 0 0 1.0,Default_mode,Red
102,L,1 0 0 1.0,Default_mode,Red
103,L,1 0 0 1.0,Default_mode,Red
104,L,1 0 0 1.0,Default_mode,Red
105,L,1 0 0 1.0,Default_mode,Red
106,L,1 0 0 1.0,Default_mode,Red
107,L,1 0 0 1.0,Default_mode,Red
108,L,1 0 0 1.0,Default_mode,Red
109,L,1 0 0 1.0,Default_mode,Red
110,L,1 0 0 1.0,Default_mode,Red
111,L,1 0 0 1.0,Default_mode,Red
112,L,1 0 0 1.0,Default_mode,Red
113,L,1 0 0 1.0,Default_mode,Red
114,L,1 0 0 1.0,Default_mode,Red
115,L,1 0 0 1.0,Default_mode,Red
116,L,1 0 0 1.0,Default_mode,Red
117,L,1 0 0 1.0,Default_mode,Red
118,L,1 0 0 1.0,Default_mode,Red
119,L,1 0 0 1.0,Default_mode,Red
120,L,1 0 0 1.0,Default_mode,Red
121,L,1 0 0 1.0,Default_mode,Red
122,L,1 0 0 1.0,Default_mode,Red
123,L,1 0 0 1.0,Default_mode,Red
124,R,1 0 0 1.0,Default_mode,Red
125,R,1 0 0 1.0,Default_mode,Red
126,R,1 0 0 1.0,Default_mode,Red
127,R,1 0 0 1.0,Default_mode,Red
128,R,1 0 0 1.0,Default_mode,Red
129,R,1 0 0 1.0,Default_mode,Red
130,R,1 0 0 1.0,Default_mode,Red
131,R,1 0 0 1.0,Default_mode,Red
132,R,1 0 0 1.0,Default_mode,Red
133,R,1 0 0 1.0,Default_mode,Red
134,R,1 0 0 1.0,Default_mode,Red
135,R,1 0 0 1.0,Default_mode,Red
136,R,1 0 0 1.0,Default_mode,Red
137,R,1 0 0 1.0,Default_mode,Red
138,R,1 0 0 1.0,Default_mode,Red
139,R,1 0 0 1.0,Default_mode,Red
140,R,1 0 0 1.0,Default_mode,Red
141,R,1 0 0 1.0,Default_mode,Red
142,R,1 0 0 1.0,Default_mode,Red
143,R,1 0 0 1.0,Default_mode,Red
144,R,1 0 0 1.0,Default_mode,Red
145,R,1 0 0 1.0,Default_mode,Red
146,R,1 0 0 1.0,Default_mode,Red
147,R,1 0 0 1.0,Default_mode,Red
148,R,1 0 0 1.0,Default_mode,Red
149,L,0 0 1 1.0,Visual,Blue
150,L,0 0 1 1.0,Visual,Blue
151,L,0 0 1 1.0,Visual,Blue
152,L,0 0 1 1.0,Visual,Blue
153,L,0 0 1 1.0,Visual,Blue
154,L,0 0 1 1.0,Visual,Blue
155,L,0 0 1 1.0,Visual,Blue
156,L,0 0 1 1.0,Visual,Blue
157,L,0 0 1 1.0,Visual,Blue
158,L,0 0 1 1.0,Visual,Blue
159,L,0 0 1 1.0,Visual,Blue
160,L,0 0 1 1.0,Visual,Blue
161,L,0 0 1 1.0,Visual,Blue
162,L,0 0 1 1.0,Visual,Blue
163,R,0 0 1 1.0,Visual,Blue
164,R,0 0 1 1.0,Visual,Blue
165,R,0 0 1 1.0,Visual,Blue
166,R,0 0 1 1.0,Visual,Blue
167,R,0 0 1 1.0,Visual,Blue
168,R,0 0 1 1.0,Visual,Blue
169,R,0 0 1 1.0,Visual,Blue
170,R,0 0 1 1.0,Visual,Blue
171,R,0 0 1 1.0,Visual,Blue
172,R,0 0 1 1.0,Visual,Blue
173,R,0 0 1 1.0,Visual,Blue
174,R,0 0 1 1.0,Visual,Blue
175,R,0 0 1 1.0,Visual,Blue
176,R,0 0 1 1.0,Visual,Blue
177,R,0 0 1 1.0,Visual,Blue
178,R,0 0 1 1.0,Visual,Blue
179,R,0 0 1 1.0,Visual,Blue
180,L,1 1 0 1.0,Fronto_parietal,Yellow
181,L,1 1 0 1.0,Fronto_parietal,Yellow
182,L,1 1 0 1.0,Fronto_parietal,Yellow
183,L,1 1 0 1.0,Fronto_parietal,Yellow
184,L,1 1 0 1.0,Fronto_parietal,Yellow
185,L,1 1 0 1.0,Fronto_parietal,Yellow
186,L,1 1 0 1.0,Fronto_parietal,Yellow
187,L,1 1 0 1.0,Fronto_parietal,Yellow
188,L,1 1 0 1.0,Fronto_parietal,Yellow
189,L,1 1 0 1.0,Fronto_parietal,Yellow
190,L,1 1 0 1.0,Fronto_parietal,Yellow
191,L,1 1 0 1.0,Fronto_parietal,Yellow
192,R,1 1 0 1.0,Fronto_parietal,Yellow
193,R,1 1 0 1.0,Fronto_parietal,Yellow
194,R,1 1 0 1.0,Fronto_parietal,Yellow
195,R,1 1 0 1.0,Fronto_parietal,Yellow
196,R,1 1 0 1.0,Fronto_parietal,Yellow
197,R,1 1 0 1.0,Fronto_parietal,Yellow
198,R,1 1 0 1.0,Fronto_parietal,Yellow
199,R,1 1 0 1.0,Fronto_parietal,Yellow
200,R,1 1 0 1.0,Fronto_parietal,Yellow
201,R,1 1 0 1.0,Fronto_parietal,Yellow
202,R,1 1 0 1.0,Fronto_parietal,Yellow
203,R,1 1 0 1.0,Fronto_parietal,Yellow
204,R,1 1 0 1.0,Fronto_parietal,Yellow
205,L,.12 .12 .12 1.0,Salience,Black
206,L,.12 .12 .12 1.0,Salience,Black
207,L,.12 .12 .12 1.0,Salience,Black
208,L,.12 .12 .12 1.0,Salience,Black
209,L,.12 .12 .12 1.0,Salience,Black
210,L,.12 .12 .12 1.0,Salience,Black
211,R,.12 .12 .12 1.0,Salience,Black
212,R,.12 .12 .12 1.0,Salience,Black
213,R,.12 .12 .12 1.0,Salience,Black
214,R,.12 .12 .12 1.0,Salience,Black
215,R,.12 .12 .12 1.0,Salience,Black
216,R,.12 .12 .12 1.0,Salience,Black
217,R,.12 .12 .12 1.0,Salience,Black
218,R,.12 .12 .12 1.0,Salience,Black
219,R,.12 .12 .12 1.0,Salience,Black
220,R,.12 .12 .12 1.0,Salience,Black
221,R,.12 .12 .12 1.0,Salience,Black
222,R,.12 .12 .12 1.0,Salience,Black
223,L,0.64705882352941 0.16470588235294 0.16470588235294 1.0,Subcortical,Brown
224,L,0.64705882352941 0.16470588235294 0.16470588235294 1.0,Subcortical,Brown
225,L,0.64705882352941 0.16470588235294 0.16470588235294 1.0,Subcortical,Brown
226,L,0.64705882352941 0.16470588235294 0.16470588235294 1.0,Subcortical,Brown
227,L,0.64705882352941 0.16470588235294 0.16470588235294 1.0,Subcortical,Brown
228,L,0.64705882352941 0.16470588235294 0.16470588235294 1.0,Subcortical,Brown
229,R,0.64705882352941 0.16470588235294 0.16470588235294 1.0,Subcortical,Brown
230,R,0.64705882352941 0.16470588235294 0.16470588235294 1.0,Subcortical,Brown
231,R,0.64705882352941 0.16470588235294 0.16470588235294 1.0,Subcortical,Brown
232,R,0.64705882352941 0.16470588235294 0.16470588235294 1.0,Subcortical,Brown
233,R,0.64705882352941 0.16470588235294 0.16470588235294 1.0,Subcortical,Brown
234,R,0.64705882352941 0.16470588235294 0.16470588235294 1.0,Subcortical,Brown
235,R,0.64705882352941 0.16470588235294 0.16470588235294 1.0,Subcortical,Brown
236,L,0 0.50196078431373 0.50196078431373 1.0,Ventral_attention,Teal
237,L,0 0.50196078431373 0.50196078431373 1.0,Ventral_attention,Teal
238,L,0 0.50196078431373 0.50196078431373 1.0,Ventral_attention,Teal
239,L,0 0.50196078431373 0.50196078431373 1.0,Ventral_attention,Teal
240,R,0 0.50196078431373 0.50196078431373 1.0,Ventral_attention,Teal
241,R,0 0.50196078431373 0.50196078431373 1.0,Ventral_attention,Teal
242,R,0 0.50196078431373 0.50196078431373 1.0,Ventral_attention,Teal
243,R,0 0.50196078431373 0.50196078431373 1.0,Ventral_attention,Teal
244,R,0 0.50196078431373 0.50196078431373 1.0,Ventral_attention,Teal
245,L,0 0.50196078431373 0 1.0,Dorsal_attention,Green
246,L,0 0.50196078431373 0 1.0,Dorsal_attention,Green
247,L,0 0.50196078431373 0 1.0,Dorsal_attention,Green
248,L,0 0.50196078431373 0 1.0,Dorsal_attention,Green
249,L,0 0.50196078431373 0 1.0,Dorsal_attention,Green
250,L,0 0.50196078431373 0 1.0,Dorsal_attention,Green
251,R,0 0.50196078431373 0 1.0,Dorsal_attention,Green
252,R,0 0.50196078431373 0 1.0,Dorsal_attention,Green
253,R,0 0.50196078431373 0 1.0,Dorsal_attention,Green
254,R,0 0.50196078431373 0 1.0,Dorsal_attention,Green
255,R,0 0.50196078431373 0 1.0,Dorsal_attention,Green
